dataset,window_size,alphabet_size,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,state_count,state_count_std,transition_count,transition_count_std,transition_density,transition_density_std,path_probability,path_probability_std,confidence_score,confidence_score_std
skab,3,3,0.6480409617097062,0.01153754097938553,0.046511627906976744,0.0805605026776222,0.00125,0.0021650635094610966,0.002434570906877663,0.00421680050534115,27.0,0.0,27.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
skab,3,4,0.6447573463935886,0.014563517484560884,0.0330188679245283,0.057190356853689346,0.0021875,0.003788861141556919,0.004103165298944901,0.007106890769626109,61.0,3.5355339059327378,61.0,3.5355339059327378,0.01645221657822464,0.001014363166739941,0.0,0.0,0.0,0.0
skab,3,5,0.6390805877114871,0.022428900344052684,0.14206827309236947,0.1462653621070967,0.012354948091091762,0.021014472111363376,0.02052056000265719,0.03477507713340789,106.0,2.5495097567963922,106.0,2.5495097567963922,0.009439497537976816,0.00023018427472257363,0.0,0.0,0.0,0.0
skab,3,6,0.6361865538735529,0.0259153418245147,0.2276839174308085,0.25153148482524146,0.018259084672639505,0.026812099124144704,0.029782115971810505,0.0421776609228068,175.75,10.40132203135736,175.75,10.40132203135736,0.005711248551505682,0.000360800429650907,0.0,0.0,0.0,0.0
skab,4,3,0.6408372300155867,0.01938678843660353,0.04398148148148148,0.07617816051807563,0.0059375,0.01028405166994021,0.010462555066079295,0.018121676951436492,78.75,2.165063509461097,78.75,2.165063509461097,0.012708333333333335,0.0003608439182435162,0.0,0.0,0.0,0.0
skab,4,4,0.6361612113115119,0.02405685697732477,0.12758515815085159,0.12763752843778994,0.016886198091091764,0.028862343559233894,0.026937681097318124,0.04588933069940044,195.75,20.8611480987984,195.75,20.8611480987984,0.005173794671473017,0.000613294701018287,0.0,0.0,0.0,0.0
skab,4,5,0.6141727900244934,0.04990495491650678,0.21916499401347025,0.24615365961689606,0.03736579219608328,0.057594065626022616,0.049370120938096465,0.07177542279630662,393.5,29.124731758421397,393.5,29.124731758421397,0.0025562122236404386,0.0002017354757088004,0.0,0.0,0.0,0.0
skab,4,6,0.5965820529948787,0.0647375767361954,0.21052018305407563,0.20323638049326728,0.06710798983841834,0.09412340721712165,0.07922433826069415,0.09721770353575498,680.75,67.2769462743368,680.75,67.2769462743368,0.0014847373224814763,0.00015993043952809913,0.0,0.0,0.0,0.0
skab,5,3,0.6271714922048998,0.03539626492943161,0.06689772683266855,0.07639230811286268,0.01593633031815346,0.02618168554646726,0.02424779526689593,0.039252346570029795,206.5,18.39157415774952,206.5,18.39157415774952,0.00488482106129165,0.00047440976160134543,0.0,0.0,0.0,0.0
skab,5,4,0.614977728285078,0.045545622981783274,0.24590741802886912,0.27115008485544195,0.04251025926406825,0.06612856052495392,0.05558781081085525,0.08183807477488406,546.75,81.61609828949189,546.75,81.61609828949189,0.0018746613447381151,0.0003082272525851444,0.0,0.0,0.0,0.0
skab,5,5,0.5893652561247217,0.06746792753175637,0.2279246257225887,0.22235294592851468,0.08259862287361004,0.10820351257756244,0.09617866572711337,0.10647320777659333,1143.5,165.07952628960382,1143.5,165.07952628960382,0.0008954763238842832,0.00014596592924961667,0.0,0.0,0.0,0.0
skab,5,6,0.5652004454342985,0.08129852841208522,0.24870719066485947,0.20349642660313655,0.14209785720107113,0.15117895948816817,0.15465950741226,0.13014802013735408,1972.0,307.45324847852885,1972.0,307.45324847852885,0.0005211428742677877,9.075490344809032e-05,0.0,0.0,0.0,0.0
skab,6,3,0.6182891512586322,0.04227832056909614,0.05986789545765807,0.07843252881597798,0.020936037897691828,0.03448495686611712,0.02982867379856033,0.048341723840664035,467.25,78.72856851232595,467.25,78.72856851232595,0.0022129533549585176,0.00043462930219802075,0.0,0.0,0.0,0.0
skab,6,4,0.590833147694364,0.05620709932561709,0.24011296225887285,0.22928210957015474,0.07732791933942929,0.10520579364221044,0.09187954475665719,0.10803299708805492,1272.75,241.23885984641862,1272.75,241.23885984641862,0.0008180470122581715,0.00017277652834423246,0.0,0.0,0.0,0.0
